"According to the 90-day blueprint, the success of the next 5 years in a leadership role is determined by the first _____ days.",90
"Name the first phase of a leadership transition, occurring during days 1 to 30.",Listen
"During days 31 to 60 of a new leadership role, the leader should focus on the _____ phase.",Diagnose
What is the final phase (days 61 to 90) of the leadership transition framework?,Act
Why is the initial 'Listen' phase critical before a new leader begins implementing changes?,It prevents the leader from fixing the wrong problems.
What must a leader build before they begin building formal plans during a transition?,Relationships
Trust earned during the _____ of a leadership role pays compound interest throughout the tenure.,First week
A new CEO found that the real organizational bottleneck was middle managers rather than strategy; what activity revealed this?,One-on-one listening sessions
Concept: Compensation Philosophy,Definition: Pay is the ultimate indicator of what a company truly values. Misalignment between pay and stated values destroys trust.
List the three pillars of a compensation philosophy that must be aligned.,"Internal equity, External market, and Performance differentiation."
Why are pay bands generally preferred over individual negotiations?,Transparent ranges reduce bias and employee turnover.
Companies should benchmark compensation to which percentile range externally?,50th to 75th percentile
The internal spread within a compensation pay band should ideally be _____% .,$20\%$
"In a performance-driven compensation model, top performers should ideally earn _____ the median pay.",$1.5 \\times$
How does pay misalignment affect a company that claims its moat is engineering but pays sales twice as much?,"Strategy is contradicted, leading to the departure of engineers."
"In a crisis playbook, which priority must be stabilized first?",Cash
List the three priorities of crisis management in their required order.,"Cash, customers, and people."
Why is speed prioritized over perfect accuracy during a crisis?,Slow decisions kill faster than wrong decisions.
At what percentage of information availability should a leader aim to make a decision during a crisis?,$70\%$
How frequently should a leader communicate during a crisis to maintain calm and signal control?,Daily
Where does 'protecting culture' sit in the list of immediate crisis priorities?,Last
The financial cost of a bad hire is typically _____ the employee's salary.,$3 \\times$
What is the primary cost of delaying the firing of an underperformer?,A loss in team morale estimated at $10 \\times$ salary.
"According to the high-performance mandate, on what criteria should a person be hired?",Values
A leader should fire an employee based on _____ rather than one bad quarter of skills.,Values
"In the Topgrading method, what action is required for 'C-players'?",They are non-negotiable and must be moved out of the company.
What is the manager's objective for a 'B-player' in the Topgrading system?,Move them to 'A-player' status or move them out of the company.
How many interviews are recommended at minimum for a rigorous hiring process?,Four
"Which specific interview type is described as 'required, not optional' for hiring rigor?",The Reference interview
A startup removed three C-players in one week; what was the resulting productivity impact after 60 days?,A $25\%$ increase in productivity.
What is the primary differentiator between fast companies and slow ones?,Decision velocity (speed of decisions).
"In the RAPID framework, what does the 'R' stand for?",Recommend
"In the RAPID framework, what does the 'A' stand for?",Agree
"In the RAPID framework, what does the 'P' stand for?",Perform
"In the RAPID framework, what does the 'I' stand for?",Input
"In the RAPID framework, what does the 'D' stand for?",Decide
How many 'Deciders' should be assigned to any single decision to ensure clarity?,One
Term: Type 1 Decision,"Definition: High-stakes, irreversible 'one-way door' decisions that require deep deliberation and evidence."
Term: Type 2 Decision,"Definition: Low-stakes, reversible 'two-way door' decisions that should be made quickly based on judgment."
What 'tax' do organizations pay when they apply Type 1 deliberation processes to Type 2 decisions?,A tax in speed and agility.
The leadership protocol where a team supports a decision despite initial opposition is called _____.,Disagree-and-commit
List the three components that define organizational culture.,"Repeated rituals, reinforced behaviors, and remembered stories."
"From a leader's perspective, culture is defined as the _____ behavior the leader tolerates.",Worst
Values that lack _____ are considered merely 'decoration' rather than actual culture.,Consequences
Why did the Netflix culture deck go viral regarding their value tests?,They fired high performers who failed to meet company value standards.
"The framework for auditing culture suggests replacing anything that doesn't reinforce culture across five _____, five behaviors, and five stories.",Rituals
Leadership greatness is defined as holding both poles of a _____ rather than picking one.,Tension
How should a future-ready leader balance confidence and humility?,By holding both as a leadership tension simultaneously.
"In the context of customer management, what is the core tension for a leader?",Managing today's customer versus tomorrow's customer.
What is the meta-skill required for a 'Future-Ready Leader'?,Adaptability
Name the five pillars of the Future-Ready Operating System.,"See clearly, decide deliberately, execute relentlessly, learn continuously, and adapt courageously."
How should a leader define a project as 'done' to ensure operational discipline?,In customer-observable terms.
"The capstone suggests that while the plan is the artifact, the _____ is the system.",Leader
Why do stories serve as effective vehicles for learning compared to factual bullet points?,They build trust and allow listeners to enter the narrative risk-free.
How do structured environments help students or employees according to the AERO explainer?,They allow individuals to focus working memory on learning rather than managing behavior.
A strong sense of _____ can reduce anxiety and free mental resources for processing new information.,Belonging
"Under the 'Worth Aligned' pillar, _____ differentiation ensures that rewards are linked to individual contributions.",Performance
The RAPID framework assigned 'R' to those who create the proposal; what is the specific role of 'I'?,To provide relevant data and facts to the process.
What is the primary action a leader should take regarding a ritual that no longer reinforces the desired culture?,Replace it.
"In the context of the First 90 Days, what is the consequence of skipping the listening phase?",The leader likely fixes the wrong problems.
