What is the strategic definition of innovation?,The conversion of insight into value.
What is the engineering component of converting insight into value known as?,New product development (NPD).
"According to the Three Horizons model, what is the focus of Horizon 1?",Extending the core businesses that generate today's revenue.
"In the Three Horizons framework, what does Horizon 2 represent?",Emerging businesses intended to provide tomorrow's revenue.
What is the purpose of Horizon 3 in portfolio management?,Seeding future options and long-term bets.
What are the three components of the D-F-V test for innovation?,"Desirable, Feasible, and Viable."
What specific question does the 'Desirable' component of the D-F-V test answer?,Do customers actually want the product?
What does the 'Feasible' check in the D-F-V test evaluate?,Whether the organization has the technical capability to build the solution.
What does the 'Viable' criteria of the D-F-V test assess?,Whether the business model for the product actually works.
"In the Discovery to Delivery sequence, what must be validated before solution discovery?","Problem discovery, or identifying real customer pain."
What is the primary goal of the 'Build' step in product development?,Creating the smallest version that proves value.
Why do many innovations fail despite having a good solution?,The innovator loved the solution more than the actual problem.
What is a common failure pattern regarding growth in new products?,Scaling the product before achieving product-market fit.
What core paradox is identified in Clayton Christensen's Innovator's Dilemma?,Well-managed companies fail precisely because they listen to their best customers and demand rigorous financials.
How does Sustaining Innovation differ from Disruptive Innovation regarding target audience?,"Sustaining innovation makes products better for existing customers, while disruptive innovation targets the low end or new markets."
At what market level does disruptive innovation typically begin?,"The low end, with products that are simpler or cheaper."
What happens to incumbents as a disruptive entrant climbs into the mainstream?,Incumbents flee upmarket because their highest-margin customers do not yet care about the disruption.
Why do incumbent resource allocation processes favor sustaining innovation over disruption?,"Processes prioritize high-margin projects for large, existing customers."
What is the recommended organizational structure for an incumbent defending against disruption?,A separate organization with its own independent metrics.
What strategic approach should a leader take toward their own products when facing disruption?,A willingness to cannibalize existing high-margin products.
What is the foundational shift characterized by AI in a business strategy?,It is a fundamental change in how work gets done rather than just a feature.
"In the AI Value Stack, which layer is considered largely commoditized and capital-intensive?",Compute and Models.
What layer of the AI Value Stack serves as a company's proprietary moat?,Proprietary Data.
Where is customer value primarily captured within the AI Value Stack?,Workflow and User Experience (UX).
What is identified as the scarcest asset in the AI Value Stack?,Distribution.
Which AI strategic bet involves giving every employee a 'co-pilot'?,Augmentation.
What does the 'Automation' bet in AI strategy aim to achieve?,Making specific workflows end-to-end automatable.
"In AI governance, what term describes the risk of the system providing false information as fact?",Hallucination.
What risk in AI governance requires an audit before deployment to ensure fairness?,Algorithmic bias.
"What is the final, highest-reward stage of the AI adoption pattern?",Developing a net-new product.
What does ESG stand for in a strategic context?,"Environmental, Social, and Governance."
What is the 'focusing discipline' used to identify which ESG issues drive financial performance?,Materiality.
"Which ESG lens focuses on energy, water, and circularity?",Cost and efficiency.
How does the 'Growth' lens view ESG strategy?,As a way to create ESG-aligned products and attract new customers with premium pricing.
"In ESG governance, what should be linked to executive incentives?",Audited disclosures and sustainability targets.
"What is the purpose of a Scope 1, 2, and 3 emissions inventory?",Tracking the total greenhouse gas emissions across the entire value chain.
What greenwashing trap involves making environmental targets without a defined path to reach them?,Targets without trajectory.
What is the primary risk of selective disclosure in ESG reporting?,It creates legal and reputational costs that exceed the cost of underclaiming.
What is the defining meta-skill of a future-ready leader?,Adaptability.
"In the Future-Ready Operating System, what does it mean to 'See clearly'?","Understanding the current state of cash, customers, competitors, and capabilities."
What rule governs the 'Decide deliberately' component of the future-ready OS?,Applying the right amount of rigor based on the reversibility of the decision.
On what two pillars does the 'Execute relentlessly' component of the OS stand?,Standard work and a daily cadence.
How does a future-ready leader 'Learn continuously'?,"Through experiments, retrospectives, and the use of base rates."
What does the 'Adapt courageously' step of the OS involve?,"The willingness to cannibalize, pivot, or reinvent the business."
What leadership tension involves balancing current profits with future sustainability?,Short term vs long term.
What tension must a leader hold between being right and being open to new information?,Confidence vs humility.
"In the Capstone's Integration Test, what is the 'North Star' metric?",The single metric that proves the business is delivering customer value.
What component of the Integration Test asks about defensible competitive advantage?,Defining the company's moat.
Which Integration Test question focuses on future growth strategy?,Defining the next strategic bet.
What is the primary focus of a Personal Operating System's weekly review?,Reviewing performance against the five core leadership questions.
What should be included in a personal OS to manage long-term uncertainty?,An annual scenario plan.
The _____ is the discipline of identifying the 5-10 ESG issues that drive financial performance for a specific industry.,Materiality lens
Concept: The Three Horizons,"Definition: A framework for managing a balanced portfolio of current, emerging, and future business options."
Concept: Disruption Pattern,Definition: A four-step process where an entrant launches a simple product at the low end and eventually captures the mainstream.
What is the primary strategic risk of over-investing in Horizon 1 at the expense of Horizon 2?,The company may fail to generate the emerging businesses needed for future revenue.
Under what condition should an organization build a capability rather than buy it?,"When the capability is customer-facing, core to differentiation, and emerging."
What does 'antifragility' protect against in risk management?,Black swans and fat-tail events with extreme consequences.
"In the AI value Stack, where does value migrate if models become commoditized?","Data, workflow, and distribution."
Why is the 'Personal OS' described as a 'lifelong learning loop'?,Because the leader is the system and must continuously adapt as the artifact of the plan changes.
What specific trap is avoided by identifying 'non-consumers' in a disruption defense playbook?,"The trap of listening only to current best customers who reject simpler, lower-margin offers."
