"In financial management, what does the term 'runway' represent?",The amount of time a company has before it runs out of cash based on its current spending.
What is the formula for calculating a business's monthly cash runway?,$Runway = \frac{Cash\ on\ Hand}{Net\ Monthly\ Burn}$
How is 'monthly burn' defined in the context of cash flow?,The net amount of cash leaving a business each month.
"According to the 'Oxygen' guide, what runway duration indicates that a business is 'suffocating'?",Fewer than three months.
List three levers available to a manager to extend a company's cash runway.,"Cutting burn, accelerating collections, and raising capital."
Why is 'profit on paper' considered distinct from 'cash in the bank'?,Revenue may be recognized before the actual cash is collected from customers.
Term: Breakeven Point,"Definition: The volume of sales at which total revenue equals total costs, resulting in zero profit or loss."
What is the formula to determine the breakeven point in units?,$Breakeven\ Units = \frac{Fixed\ Costs}{Price - Variable\ Cost}$
Formula: Contribution Margin per unit,$Contribution\ Margin = Price - Variable\ Cost$
How is the Breakeven Revenue calculated?,$Breakeven\ Revenue = \frac{Fixed\ Cost}{Contribution\ Margin\ \%}$
"In a coffee shop with $\$10,000$ in monthly rent and a $\$3$ margin per cup, how many cups must be sold to break even?","3,334 cups per month."
What is the financial outcome of every sale made below the breakeven point?,The business loses money on its fixed overhead costs.
"According to the 'Top Line Lie' framework, what does 'revenue' represent compared to 'cash'?","Revenue is vanity, while cash is reality."
What remains after subtracting the Cost of Goods Sold (COGS) from total revenue?,Gross Profit.
"The final amount remaining after all operating expenses, interest, and taxes are paid is called _____.",Net Profit
Which specific trend serves as a warning sign despite high revenue growth?,Shrinking profit margins.
List the three metrics included in the 'three-line check' for financial health.,"Revenue trend, Gross Margin trend, and Net Margin trend."
How does the 'April Cash Timing' lesson explain the discrepancy between profit and cash?,"Profit is recorded when a sale is booked, but cash only arrives when the invoice is collected."
What is the formula for the Cash Conversion Cycle?,$AR\ days + Inventory\ days - AP\ days$
Why can fast growth paradoxically lead a profitable company to bankruptcy?,New customers often tie up working capital before they provide the cash to pay for operations.
Which financial tool is recommended over an annual budget for managing short-term cash needs?,A 13-week rolling cash forecast.
What is the core principle of the 'Time Value of Money'?,A dollar received today is worth more than a dollar received in the future.
Term: Net Present Value (NPV),"Definition: The sum of future cash flows discounted back to the present, minus the initial investment."
What happens to the present value of a future benefit as the discount rate increases?,The present value decreases.
Which factors typically cause a discount rate to rise?,Higher risk and higher inflation.
Formula: Net Present Value (NPV),$NPV = \sum \frac{CF}{(1+r)^t}$
Under what NPV condition should a project be rejected?,When the Net Present Value is negative.
What does the 'r' variable represent in the NPV formula for a corporation?,The weighted cost of capital.
Term: Days Sales Outstanding (DSO),Definition: A measure of the average number of days it takes a company to collect payment after a sale has been made.
What is the formula for Days Sales Outstanding?,$DSO = (\frac{Accounts\ Receivable}{Revenue}) \times Days$
What is the typical DSO benchmark for a SaaS company?,30 to 45 days.
Why is a high DSO described as a 'free loan' to a customer?,The company is funding the customer's purchase using its own bank account interest-free.
What does the payment term '2/10 net 30' imply?,"The customer receives a $2\%$ discount if they pay within 10 days; otherwise, the full amount is due in 30 days."
Term: Customer Acquisition Cost (CAC),Definition: The total cost spent on sales and marketing to acquire a single new customer.
What is the formula for calculating CAC?,$CAC = \frac{Sales\ +\ Marketing\ Expenses}{Number\ of\ New\ Customers}$
Term: Lifetime Value (LTV),Definition: The total gross margin a company expects to earn from a customer over the entire duration of the relationship.
How is LTV calculated?,$LTV = Gross\ Margin\ per\ Customer \times Average\ Lifespan$
What is the minimum healthy ratio for $LTV/CAC$ in a scaling business?,3 or higher.
The amount of time it takes for a customer to generate enough contribution margin to cover their CAC is called the _____.,Payback Period
Term: Degree of Operating Leverage (DOL),Definition: A measure of how much a company's operating income changes in response to a change in sales.
How is DOL calculated using contribution margin?,$DOL = \frac{Contribution\ Margin}{Operating\ Income}$
Formula: DOL using percentage changes,$DOL = \frac{\%\ Change\ in\ EBIT}{\%\ Change\ in\ Sales}$
Why do software companies typically have high operating leverage?,They have high fixed costs for development but very low variable costs for each additional unit sold.
What is the primary risk associated with high operating leverage?,Small drops in revenue lead to disproportionately large drops in profit.
State the fundamental accounting equation for a balance sheet.,$Assets = Liabilities + Equity$
How are assets and liabilities classified on a balance sheet to distinguish short-term from structural items?,By categorizing them as 'Current' or 'Long-term'.
What is a generally accepted benchmark for a healthy 'Current Ratio'?,Greater than 1.5.
A business with $\$5M$ in assets and $\$4M$ in debt is considered _____ compared to one with $\$1M$ in debt.,Riskier
Which four ratios are recommended for quarterly balance sheet tracking?,"Current, Quick, Debt/Equity, and Working Capital."
